hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 300.00000, 240.037, 89.977, 0, 0, 0.229556, 78.4986, 0.229556, -101.501
0, 600.00000, 239.455, 89.9648, 0, 0, 0.230111, 78.4865, 0.230111, -101.514
0, 900.00000, 239.568, 89.9426, 0, 0, 0.230006, 78.4644, 0.230006, -101.536
0, 1200.00000, 239.633, 89.9484, 0, 0, 0.229944, 78.4701, 0.229944, -101.53
0, 1500.00000, 239.745, 89.9693, 0, 0, 0.229837, 78.4909, 0.229837, -101.509
0, 1800.00000, 239.784, 89.9687, 0, 0, 0.229799, 78.4903, 0.229799, -101.51
0, 2100.00000, 239.583, 89.971, 0, 0, 0.22999, 78.4927, 0.22999, -101.507
0, 2400.00000, 239.417, 89.959, 0, 0, 0.230149, 78.4807, 0.230149, -101.519
0, 2700.00000, 239.876, 89.9835, 0, 0, 0.229712, 78.5051, 0.229712, -101.495
0, 3000.00000, 239.514, 89.974, 0, 0, 0.230055, 78.4956, 0.230055, -101.504
0, 3300.00000, 239.683, 89.969, 0, 0, 0.229897, 78.4907, 0.229897, -101.509
1, 0.00000, 239.608, 89.9591, 0, 0, 0.229967, 78.4808, 0.229967, -101.519
1, 300.00000, 239.848, 89.9486, 0, 0, 0.229739, 78.4703, 0.229739, -101.53
1, 600.00000, 239.74, 89.9589, 0, 0, 0.229841, 78.4805, 0.229841, -101.52
1, 900.00000, 239.718, 89.9639, 0, 0, 0.229862, 78.4855, 0.229862, -101.514
1, 1200.00000, 239.972, 89.776, 0, 0, 0.229619, 78.2978, 0.229619, -101.702
1, 1500.00000, 239.739, 89.9664, 0, 0, 0.22984, 78.4868, 0.22984, -101.513
1, 1800.00000, 239.847, 89.9677, 0, 0, 0.229738, 78.4893, 0.229738, -101.511
1, 2100.00000, 239.964, 89.9667, 0, 0, 0.229626, 78.4884, 0.229626, -101.512
1, 2400.00000, 240.021, 89.9584, 0, 0, 0.229572, 78.4801, 0.229572, -101.52
1, 2700.00000, 240.031, 89.9475, 0, 0, 0.229562, 78.4693, 0.229562, -101.531
1, 3000.00000, 239.98, 89.938, 0, 0, 0.229611, 78.4597, 0.229611, -101.54
1, 3300.00000, 240.088, 89.939, 0, 0, 0.229508, 78.4607, 0.229508, -101.539
2, 0.00000, 240.136, 89.9639, 0, 0, 0.229462, 78.4854, 0.229462, -101.515
2, 300.00000, 239.963, 89.9988, 0, 0, 0.229627, 78.5202, 0.229627, -101.48
2, 600.00000, 239.927, 89.9879, 0, 0, 0.229662, 78.5096, 0.229662, -101.49
2, 900.00000, 239.977, 89.9873, 0, 0, 0.229614, 78.5089, 0.229614, -101.491
2, 1200.00000, 239.931, 89.9891, 0, 0, 0.229658, 78.5107, 0.229658, -101.489
2, 1500.00000, 239.895, 89.9838, 0, 0, 0.229692, 78.5055, 0.229692, -101.494
2, 1800.00000, 239.419, 89.9873, 0, 0, 0.230146, 78.509, 0.230146, -101.491
2, 2100.00000, 239.973, 89.9971, 0, 0, 0.229619, 78.5187, 0.229619, -101.481
2, 2400.00000, 239.982, 89.9954, 0, 0, 0.229609, 78.5171, 0.229609, -101.483
2, 2700.00000, 240.011, 89.9787, 0, 0, 0.229582, 78.5004, 0.229582, -101.5
2, 3000.00000, 240.06, 89.9889, 0, 0, 0.229535, 78.5105, 0.229535, -101.489
2, 3300.00000, 240.181, 89.9959, 0, 0, 0.331383, 78.5176, 0.331383, -101.482
3, 0.00000, 240.185, 89.9952, 0, 0, 0.56929, 78.5168, 0.56929, -101.483
3, 300.00000, 240.098, 90.0135, 0, 0, 0.722494, 78.535, 0.722494, -101.465
3, 600.00000, 240.107, 90.0171, 0, 0, 0.569475, 78.5387, 0.569475, -101.461
3, 900.00000, 240.022, 89.9962, 0, 0, 0.22957, 78.518, 0.22957, -101.482
3, 1200.00000, 239.894, 89.987, 0, 0, 0.229692, 78.5087, 0.229692, -101.491
3, 1500.00000, 239.955, 89.9808, 0, 0, 0.229635, 78.5024, 0.229635, -101.498
3, 1800.00000, 239.963, 89.9985, 0, 0, 0.229627, 78.5201, 0.229627, -101.48
3, 2100.00000, 239.91, 90.0214, 0, 0, 0.229678, 78.543, 0.229678, -101.457
3, 2400.00000, 239.966, 90.0116, 0, 0, 0.229624, 78.5333, 0.229624, -101.467
3, 2700.00000, 239.991, 90.005, 0, 0, 0.229601, 78.5267, 0.229601, -101.473
3, 3000.00000, 239.942, 89.9918, 0, 0, 0.229647, 78.5135, 0.229647, -101.487
3, 3300.00000, 239.904, 89.9805, 0, 0, 0.229684, 78.5022, 0.229684, -101.498
4, 0.00000, 239.941, 89.9872, 0, 0, 0.229648, 78.5088, 0.229648, -101.491
4, 300.00000, 240.025, 90.024, 0, 0, 0.229568, 78.5455, 0.229568, -101.454
4, 600.00000, 240.109, 90.0264, 0, 0, 0.229488, 78.5481, 0.229488, -101.452
4, 900.00000, 240.156, 90.0271, 0, 0, 0.229443, 78.5488, 0.229443, -101.451
4, 1200.00000, 240.206, 90.0169, 0, 0, 0.229395, 78.5386, 0.229395, -101.461
4, 1500.00000, 240.143, 90.0057, 0, 0, 0.229455, 78.5274, 0.229455, -101.473
